city,role,name,count,lat,lng,matched_name,address,source,note
北京,起点,望京SOHO,1,39.99642,116.48146,望京SOHO,阜通东大街6号,manual,
北京,终点,北京南站,1,39.86514,116.37853,北京南站,永外大街车站路12号,manual,
北京,起点,国贸,1,39.90857,116.45924,国贸,建国门外大街1号,manual,
北京,终点,首都国际机场T3,1,40.05278,116.61062,首都国际机场3号航站楼,首都机场路,manual,
重庆,起点,解放碑,1,29.55755,106.57574,解放碑,民族路177号,manual,
重庆,终点,洪崖洞,1,29.56292,106.58288,洪崖洞,嘉滨路88号,manual,
重庆,起点,洪崖洞,1,29.56292,106.58288,洪崖洞,嘉滨路88号,manual,
重庆,终点,磁器口,1,29.57505,106.44689,磁器口古镇,磁南街1号,manual,
重庆,起点,磁器口,1,29.57505,106.44689,磁器口古镇,磁南街1号,manual,
重庆,终点,重庆西站,1,29.49708,106.42672,重庆西站,凤中路168号,manual,
成都,起点,春熙路,1,30.65920,104.08071,春熙路,春熙路街道,manual,
成都,终点,成都东站,1,30.62931,104.14153,成都东站,邛崃山路333号,manual,
